[TOKEN] Línea 1: Tipo=PACKAGE, Valor=package
[TOKEN] Línea 1: Tipo=MAIN, Valor=main
[TOKEN] Línea 3: Tipo=IMPORT, Valor=import
[TOKEN] Línea 3: Tipo=STRING, Valor="fmt"
[TOKEN] Línea 6: Tipo=FUNCNAME, Valor=saludar
[TOKEN] Línea 6: Tipo=LPAREN, Valor=(
[TOKEN] Línea 6: Tipo=VARIABLE, Valor=nombre
[TOKEN] Línea 6: Tipo=STRING_TYPE, Valor=string
[TOKEN] Línea 6: Tipo=RPAREN, Valor=)
[TOKEN] Línea 6: Tipo=STRING_TYPE, Valor=string
[TOKEN] Línea 6: Tipo=LBRACE, Valor={
[TOKEN] Línea 7: Tipo=RETURN, Valor=return
[TOKEN] Línea 7: Tipo=STRING, Valor="Hola "
[TOKEN] Línea 7: Tipo=PLUS, Valor=+
[TOKEN] Línea 7: Tipo=VARIABLE, Valor=nombre
[TOKEN] Línea 8: Tipo=RBRACE, Valor=}
[TOKEN] Línea 10: Tipo=FUNCNAME, Valor=main
[TOKEN] Línea 10: Tipo=LPAREN, Valor=(
[TOKEN] Línea 10: Tipo=RPAREN, Valor=)
[TOKEN] Línea 10: Tipo=LBRACE, Valor={
[TOKEN] Línea 12: Tipo=VAR, Valor=var
[TOKEN] Línea 12: Tipo=VARIABLE, Valor=numeros
[TOKEN] Línea 12: Tipo=LBRACKET, Valor=[
[TOKEN] Línea 12: Tipo=NUMBER, Valor=3
[TOKEN] Línea 12: Tipo=RBRACKET, Valor=]
[TOKEN] Línea 12: Tipo=INT_TYPE, Valor=int
[TOKEN] Línea 12: Tipo=ASSIGN, Valor==
[TOKEN] Línea 12: Tipo=LBRACKET, Valor=[
[TOKEN] Línea 12: Tipo=NUMBER, Valor=3
[TOKEN] Línea 12: Tipo=RBRACKET, Valor=]
[TOKEN] Línea 12: Tipo=INT_TYPE, Valor=int
[TOKEN] Línea 12: Tipo=LBRACE, Valor={
[TOKEN] Línea 12: Tipo=NUMBER, Valor=1
[TOKEN] Línea 12: Tipo=COMMA, Valor=,
[TOKEN] Línea 12: Tipo=NUMBER, Valor=2
[TOKEN] Línea 12: Tipo=COMMA, Valor=,
[TOKEN] Línea 12: Tipo=NUMBER, Valor=3
[TOKEN] Línea 12: Tipo=RBRACE, Valor=}
[TOKEN] Línea 14: Tipo=RBRACE, Valor=}
[TOKEN] Línea 17: Tipo=VARIABLE, Valor=mensaje
[TOKEN] Línea 17: Tipo=ASIG, Valor=:=
[TOKEN] Línea 17: Tipo=VARIABLE, Valor=saludar
[TOKEN] Línea 17: Tipo=LPAREN, Valor=(
[TOKEN] Línea 17: Tipo=VARIABLE, Valor=persona
[TOKEN] Línea 17: Tipo=DOT, Valor=.
[TOKEN] Línea 17: Tipo=VARIABLE, Valor=Nombre
[TOKEN] Línea 17: Tipo=RPAREN, Valor=)
[TOKEN] Línea 18: Tipo=FMT, Valor=fmt
[TOKEN] Línea 18: Tipo=DOT, Valor=.
[TOKEN] Línea 18: Tipo=PRINTLN, Valor=Println
[TOKEN] Línea 18: Tipo=LPAREN, Valor=(
[TOKEN] Línea 18: Tipo=VARIABLE, Valor=mensaje
[TOKEN] Línea 18: Tipo=RPAREN, Valor=)
[TOKEN] Línea 21: Tipo=VAR, Valor=var
[TOKEN] Línea 21: Tipo=VARIABLE, Valor=resultado
[TOKEN] Línea 21: Tipo=FLOAT64_TYPE, Valor=float64
[TOKEN] Línea 21: Tipo=ASSIGN, Valor==
[TOKEN] Línea 21: Tipo=FLOAT, Valor=5.0
[TOKEN] Línea 21: Tipo=DIVIDE, Valor=/
[TOKEN] Línea 21: Tipo=NUMBER, Valor=2
[TOKEN] Línea 22: Tipo=VAR, Valor=var
[TOKEN] Línea 22: Tipo=VARIABLE, Valor=nombre
[TOKEN] Línea 22: Tipo=STRING_TYPE, Valor=string
[TOKEN] Línea 22: Tipo=ASSIGN, Valor==
[TOKEN] Línea 22: Tipo=STRING, Valor="Ana"
[TOKEN] Línea 25: Tipo=VAR, Valor=var
[TOKEN] Línea 25: Tipo=VARIABLE, Valor=suma
[TOKEN] Línea 25: Tipo=ASSIGN, Valor==
[TOKEN] Línea 25: Tipo=NUMBER, Valor=3
[TOKEN] Línea 25: Tipo=PLUS, Valor=+
[TOKEN] Línea 25: Tipo=STRING, Valor="texto"
[TOKEN] Línea 26: Tipo=VAR, Valor=var
[TOKEN] Línea 26: Tipo=VARIABLE, Valor=edad
[TOKEN] Línea 26: Tipo=INT_TYPE, Valor=int
[TOKEN] Línea 26: Tipo=ASSIGN, Valor==
[TOKEN] Línea 26: Tipo=STRING, Valor="veinticinco"
[TOKEN] Línea 27: Tipo=RBRACE, Valor=}
