[TOKEN] Línea 1: Tipo=PACKAGE, Valor=package
[TOKEN] Línea 1: Tipo=MAIN, Valor=main
[TOKEN] Línea 2: Tipo=IMPORT, Valor=import
[TOKEN] Línea 2: Tipo=LPAREN, Valor=(
[TOKEN] Línea 3: Tipo=STRING, Valor="fmt"
[TOKEN] Línea 4: Tipo=RPAREN, Valor=)
[TOKEN] Línea 5: Tipo=TYPE, Valor=type
[TOKEN] Línea 5: Tipo=VARIABLE, Valor=Tarea
[TOKEN] Línea 5: Tipo=STRUCT, Valor=struct
[TOKEN] Línea 5: Tipo=LBRACE, Valor={
[TOKEN] Línea 6: Tipo=VARIABLE, Valor=Descripcion
[TOKEN] Línea 6: Tipo=STRING_TYPE, Valor=string
[TOKEN] Línea 7: Tipo=VARIABLE, Valor=Completada
[TOKEN] Línea 7: Tipo=BOOL_TYPE, Valor=bool
[TOKEN] Línea 8: Tipo=RBRACE, Valor=}
[TOKEN] Línea 9: Tipo=TYPE, Valor=type
[TOKEN] Línea 9: Tipo=VARIABLE, Valor=GestorDeTareas
[TOKEN] Línea 9: Tipo=STRUCT, Valor=struct
[TOKEN] Línea 9: Tipo=LBRACE, Valor={
[TOKEN] Línea 10: Tipo=VARIABLE, Valor=Lista
[TOKEN] Línea 10: Tipo=LBRACKET, Valor=[
[TOKEN] Línea 10: Tipo=RBRACKET, Valor=]
[TOKEN] Línea 10: Tipo=VARIABLE, Valor=Tarea
[TOKEN] Línea 11: Tipo=RBRACE, Valor=}
[TOKEN] Línea 13: Tipo=FUNC, Valor=func
[TOKEN] Línea 13: Tipo=LPAREN, Valor=(
[TOKEN] Línea 13: Tipo=VARIABLE, Valor=g
[TOKEN] Línea 13: Tipo=TIMES, Valor=*
[TOKEN] Línea 13: Tipo=VARIABLE, Valor=GestorDeTareas
[TOKEN] Línea 13: Tipo=RPAREN, Valor=)
[TOKEN] Línea 13: Tipo=VARIABLE, Valor=Agregar
[TOKEN] Línea 13: Tipo=LPAREN, Valor=(
[TOKEN] Línea 13: Tipo=VARIABLE, Valor=descripcion
[TOKEN] Línea 13: Tipo=STRING_TYPE, Valor=string
[TOKEN] Línea 13: Tipo=RPAREN, Valor=)
[TOKEN] Línea 13: Tipo=LBRACE, Valor={
[TOKEN] Línea 14: Tipo=VARIABLE, Valor=t
[TOKEN] Línea 14: Tipo=COLON, Valor=:
[TOKEN] Línea 14: Tipo=ASSIGN, Valor==
[TOKEN] Línea 14: Tipo=VARIABLE, Valor=Tarea
[TOKEN] Línea 14: Tipo=LBRACE, Valor={
[TOKEN] Línea 14: Tipo=VARIABLE, Valor=Descripcion
[TOKEN] Línea 14: Tipo=COLON, Valor=:
[TOKEN] Línea 14: Tipo=VARIABLE, Valor=descripcion
[TOKEN] Línea 14: Tipo=COMMA, Valor=,
[TOKEN] Línea 14: Tipo=VARIABLE, Valor=Completada
[TOKEN] Línea 14: Tipo=COLON, Valor=:
[TOKEN] Línea 14: Tipo=FALSE, Valor=false
[TOKEN] Línea 14: Tipo=RBRACE, Valor=}
[TOKEN] Línea 15: Tipo=VARIABLE, Valor=g
[TOKEN] Línea 15: Tipo=DOT, Valor=.
[TOKEN] Línea 15: Tipo=VARIABLE, Valor=Lista
[TOKEN] Línea 15: Tipo=ASSIGN, Valor==
[TOKEN] Línea 15: Tipo=APPEND, Valor=append
[TOKEN] Línea 15: Tipo=LPAREN, Valor=(
[TOKEN] Línea 15: Tipo=VARIABLE, Valor=g
[TOKEN] Línea 15: Tipo=DOT, Valor=.
[TOKEN] Línea 15: Tipo=VARIABLE, Valor=Lista
[TOKEN] Línea 15: Tipo=COMMA, Valor=,
[TOKEN] Línea 15: Tipo=VARIABLE, Valor=t
[TOKEN] Línea 15: Tipo=RPAREN, Valor=)
[TOKEN] Línea 16: Tipo=RBRACE, Valor=}
[TOKEN] Línea 17: Tipo=FUNC, Valor=func
[TOKEN] Línea 17: Tipo=LPAREN, Valor=(
[TOKEN] Línea 17: Tipo=VARIABLE, Valor=g
[TOKEN] Línea 17: Tipo=TIMES, Valor=*
[TOKEN] Línea 17: Tipo=VARIABLE, Valor=GestorDeTareas
[TOKEN] Línea 17: Tipo=RPAREN, Valor=)
[TOKEN] Línea 17: Tipo=VARIABLE, Valor=Completar
[TOKEN] Línea 17: Tipo=LPAREN, Valor=(
[TOKEN] Línea 17: Tipo=VARIABLE, Valor=indice
[TOKEN] Línea 17: Tipo=INT_TYPE, Valor=int
[TOKEN] Línea 17: Tipo=RPAREN, Valor=)
[TOKEN] Línea 17: Tipo=LBRACE, Valor={
[TOKEN] Línea 18: Tipo=IF, Valor=if
[TOKEN] Línea 18: Tipo=VARIABLE, Valor=indice
[TOKEN] Línea 18: Tipo=GE, Valor=>=
[TOKEN] Línea 18: Tipo=NUMBER, Valor=0
[TOKEN] Línea 18: Tipo=AND, Valor=&&
[TOKEN] Línea 18: Tipo=VARIABLE, Valor=indice
[TOKEN] Línea 18: Tipo=LT, Valor=<
[TOKEN] Línea 18: Tipo=LENGTH, Valor=len
[TOKEN] Línea 18: Tipo=LPAREN, Valor=(
[TOKEN] Línea 18: Tipo=VARIABLE, Valor=g
[TOKEN] Línea 18: Tipo=DOT, Valor=.
[TOKEN] Línea 18: Tipo=VARIABLE, Valor=Lista
[TOKEN] Línea 18: Tipo=RPAREN, Valor=)
[TOKEN] Línea 18: Tipo=LBRACE, Valor={
[TOKEN] Línea 19: Tipo=VARIABLE, Valor=g
[TOKEN] Línea 19: Tipo=DOT, Valor=.
[TOKEN] Línea 19: Tipo=VARIABLE, Valor=Lista
[TOKEN] Línea 19: Tipo=LBRACKET, Valor=[
[TOKEN] Línea 19: Tipo=VARIABLE, Valor=indice
[TOKEN] Línea 19: Tipo=RBRACKET, Valor=]
[TOKEN] Línea 19: Tipo=DOT, Valor=.
[TOKEN] Línea 19: Tipo=VARIABLE, Valor=Completada
[TOKEN] Línea 19: Tipo=ASSIGN, Valor==
[TOKEN] Línea 19: Tipo=TRUE, Valor=true
[TOKEN] Línea 20: Tipo=RBRACE, Valor=}
[TOKEN] Línea 21: Tipo=RBRACE, Valor=}
[TOKEN] Línea 22: Tipo=FUNC, Valor=func
[TOKEN] Línea 22: Tipo=LPAREN, Valor=(
[TOKEN] Línea 22: Tipo=VARIABLE, Valor=g
[TOKEN] Línea 22: Tipo=TIMES, Valor=*
[TOKEN] Línea 22: Tipo=VARIABLE, Valor=GestorDeTareas
[TOKEN] Línea 22: Tipo=RPAREN, Valor=)
[TOKEN] Línea 22: Tipo=VARIABLE, Valor=Mostrar
[TOKEN] Línea 22: Tipo=LPAREN, Valor=(
[TOKEN] Línea 22: Tipo=RPAREN, Valor=)
[TOKEN] Línea 22: Tipo=LBRACE, Valor={
[TOKEN] Línea 23: Tipo=FOR, Valor=for
[TOKEN] Línea 23: Tipo=VARIABLE, Valor=i
[TOKEN] Línea 23: Tipo=COMMA, Valor=,
[TOKEN] Línea 23: Tipo=VARIABLE, Valor=t
[TOKEN] Línea 23: Tipo=COLON, Valor=:
[TOKEN] Línea 23: Tipo=ASSIGN, Valor==
[TOKEN] Línea 23: Tipo=RANGE, Valor=range
[TOKEN] Línea 23: Tipo=VARIABLE, Valor=g
[TOKEN] Línea 23: Tipo=DOT, Valor=.
[TOKEN] Línea 23: Tipo=VARIABLE, Valor=Lista
[TOKEN] Línea 23: Tipo=LBRACE, Valor={
[TOKEN] Línea 24: Tipo=VARIABLE, Valor=estado
[TOKEN] Línea 24: Tipo=COLON, Valor=:
[TOKEN] Línea 24: Tipo=ASSIGN, Valor==
[TOKEN] Línea 24: Tipo=STRING, Valor="✗"
[TOKEN] Línea 25: Tipo=IF, Valor=if
[TOKEN] Línea 25: Tipo=VARIABLE, Valor=t
[TOKEN] Línea 25: Tipo=DOT, Valor=.
[TOKEN] Línea 25: Tipo=VARIABLE, Valor=Completada
[TOKEN] Línea 25: Tipo=LBRACE, Valor={
[TOKEN] Línea 26: Tipo=VARIABLE, Valor=estado
[TOKEN] Línea 26: Tipo=ASSIGN, Valor==
[TOKEN] Línea 26: Tipo=STRING, Valor="✓"
[TOKEN] Línea 27: Tipo=RBRACE, Valor=}
[TOKEN] Línea 28: Tipo=VARIABLE, Valor=fmt
[TOKEN] Línea 28: Tipo=DOT, Valor=.
[TOKEN] Línea 28: Tipo=PRINTF, Valor=Printf
[TOKEN] Línea 28: Tipo=LPAREN, Valor=(
[TOKEN] Línea 28: Tipo=STRING, Valor="%d. [%s] %s\n"
[TOKEN] Línea 28: Tipo=COMMA, Valor=,
[TOKEN] Línea 28: Tipo=VARIABLE, Valor=i
[TOKEN] Línea 28: Tipo=COMMA, Valor=,
