[TOKEN] Línea 1: Tipo=PACKAGE, Valor=package
[TOKEN] Línea 1: Tipo=VARIABLE, Valor=main
[TOKEN] Línea 3: Tipo=IMPORT, Valor=import
[TOKEN] Línea 3: Tipo=STRING, Valor="fmt"
[TOKEN] Línea 5: Tipo=FUNC, Valor=func
[TOKEN] Línea 5: Tipo=VARIABLE, Valor=main
[TOKEN] Línea 5: Tipo=LPAREN, Valor=(
[TOKEN] Línea 5: Tipo=RPAREN, Valor=)
[TOKEN] Línea 5: Tipo=LBRACE, Valor={
[TOKEN] Línea 6: Tipo=VAR, Valor=var
[TOKEN] Línea 6: Tipo=VARIABLE, Valor=nombre
[TOKEN] Línea 6: Tipo=STRING_TYPE, Valor=string
[TOKEN] Línea 6: Tipo=ASSIGN, Valor==
[TOKEN] Línea 6: Tipo=STRING, Valor="Valeria"
[TOKEN] Línea 7: Tipo=VARIABLE, Valor=edad
[TOKEN] Línea 7: Tipo=ASIG, Valor=:=
[TOKEN] Línea 7: Tipo=NUMBER, Valor=22
[TOKEN] Línea 8: Tipo=VARIABLE, Valor=acceso
[TOKEN] Línea 8: Tipo=ASIG, Valor=:=
[TOKEN] Línea 8: Tipo=TRUE, Valor=true
[TOKEN] Línea 9: Tipo=VARIABLE, Valor=dia
[TOKEN] Línea 9: Tipo=ASIG, Valor=:=
[TOKEN] Línea 9: Tipo=NUMBER, Valor=2
[TOKEN] Línea 11: Tipo=IF, Valor=if
[TOKEN] Línea 11: Tipo=VARIABLE, Valor=edad
[TOKEN] Línea 11: Tipo=GE, Valor=>=
[TOKEN] Línea 11: Tipo=NUMBER, Valor=18
[TOKEN] Línea 11: Tipo=LBRACE, Valor={
[TOKEN] Línea 12: Tipo=VARIABLE, Valor=acceso
[TOKEN] Línea 12: Tipo=ASSIGN, Valor==
[TOKEN] Línea 12: Tipo=TRUE, Valor=true
[TOKEN] Línea 13: Tipo=RBRACE, Valor=}
[TOKEN] Línea 15: Tipo=FMT, Valor=fmt
[TOKEN] Línea 15: Tipo=DOT, Valor=.
[TOKEN] Línea 15: Tipo=PRINTLN, Valor=Println
[TOKEN] Línea 15: Tipo=LPAREN, Valor=(
[TOKEN] Línea 15: Tipo=STRING, Valor="Nombre:"
[TOKEN] Línea 15: Tipo=COMMA, Valor=,
[TOKEN] Línea 15: Tipo=VARIABLE, Valor=nombre
[TOKEN] Línea 15: Tipo=RPAREN, Valor=)
[TOKEN] Línea 16: Tipo=FMT, Valor=fmt
[TOKEN] Línea 16: Tipo=DOT, Valor=.
[TOKEN] Línea 16: Tipo=PRINTLN, Valor=Println
[TOKEN] Línea 16: Tipo=LPAREN, Valor=(
[TOKEN] Línea 16: Tipo=STRING, Valor="Edad:"
[TOKEN] Línea 16: Tipo=COMMA, Valor=,
[TOKEN] Línea 16: Tipo=VARIABLE, Valor=edad
[TOKEN] Línea 16: Tipo=RPAREN, Valor=)
[TOKEN] Línea 18: Tipo=IF, Valor=if
[TOKEN] Línea 18: Tipo=VARIABLE, Valor=acceso
[TOKEN] Línea 18: Tipo=LBRACE, Valor={
[TOKEN] Línea 19: Tipo=FMT, Valor=fmt
[TOKEN] Línea 19: Tipo=DOT, Valor=.
[TOKEN] Línea 19: Tipo=PRINTLN, Valor=Println
[TOKEN] Línea 19: Tipo=LPAREN, Valor=(
[TOKEN] Línea 19: Tipo=STRING, Valor="Acceso permitido ✅"
[TOKEN] Línea 19: Tipo=RPAREN, Valor=)
[TOKEN] Línea 20: Tipo=FMT, Valor=fmt
[TOKEN] Línea 20: Tipo=DOT, Valor=.
[TOKEN] Línea 20: Tipo=PRINTLN, Valor=Println
