LexToken(PACKAGE,'package',1,0)
LexToken(MAIN,'main',1,8)
LexToken(IMPORT,'import',3,14)
LexToken(LPAREN,'(',3,21)
LexToken(STRING,'"fmt"',4,24)
LexToken(RPAREN,')',5,30)
LexToken(TYPE,'type',7,33)
LexToken(ID,'Producto',7,38)
LexToken(STRUCT,'struct',7,47)
LexToken(LBRACE,'{',7,54)
LexToken(ID,'Nombre',8,57)
LexToken(STRING_TYPE,'string',8,65)
LexToken(ID,'Precio',9,73)
LexToken(FLOAT64_TYPE,'float64',9,81)
LexToken(ID,'Cantidad',10,90)
LexToken(INT_TYPE,'int',10,99)
LexToken(RBRACE,'}',11,103)
LexToken(TYPE,'type',13,106)
LexToken(ID,'Carrito',13,111)
LexToken(STRUCT,'struct',13,119)
LexToken(LBRACE,'{',13,126)
LexToken(ID,'Items',14,129)
LexToken(LBRACKET,'[',14,135)
LexToken(RBRACKET,']',14,136)
LexToken(ID,'Producto',14,137)
LexToken(RBRACE,'}',15,146)
LexToken(FUNC,'func',17,149)
LexToken(LPAREN,'(',17,154)
LexToken(ID,'c',17,155)
LexToken(TIMES,'*',17,157)
LexToken(ID,'Carrito',17,158)
LexToken(RPAREN,')',17,165)
LexToken(ID,'Agregar',17,167)
LexToken(LPAREN,'(',17,174)
LexToken(ID,'p',17,175)
LexToken(ID,'Producto',17,177)
LexToken(RPAREN,')',17,185)
LexToken(LBRACE,'{',17,187)
LexToken(ID,'c',18,190)
LexToken(DOT,'.',18,191)
LexToken(ID,'Items',18,192)
LexToken(ASSIGN,'=',18,198)
LexToken(APPEND,'append',18,200)
LexToken(LPAREN,'(',18,206)
LexToken(ID,'c',18,207)
LexToken(DOT,'.',18,208)
LexToken(ID,'Items',18,209)
LexToken(COMMA,',',18,214)
LexToken(ID,'p',18,216)
LexToken(RPAREN,')',18,217)
LexToken(RBRACE,'}',19,219)
LexToken(FUNC,'func',21,222)
LexToken(LPAREN,'(',21,227)
LexToken(ID,'c',21,228)
LexToken(TIMES,'*',21,230)
LexToken(ID,'Carrito',21,231)
LexToken(RPAREN,')',21,238)
LexToken(ID,'Total',21,240)
LexToken(LPAREN,'(',21,245)
LexToken(RPAREN,')',21,246)
LexToken(FLOAT64_TYPE,'float64',21,248)
LexToken(LBRACE,'{',21,256)
LexToken(ID,'total',22,259)
LexToken(COLON,':',22,265)
LexToken(ASSIGN,'=',22,266)
LexToken(NUMBER,0,22,268)
LexToken(DOT,'.',22,269)
LexToken(NUMBER,0,22,270)
LexToken(FOR,'for',23,273)
LexToken(ID,'_',23,277)
LexToken(COMMA,',',23,278)
LexToken(ID,'item',23,280)
LexToken(COLON,':',23,285)
LexToken(ASSIGN,'=',23,286)
LexToken(RANGE,'range',23,288)
LexToken(ID,'c',23,294)
LexToken(DOT,'.',23,295)
LexToken(ID,'Items',23,296)
LexToken(LBRACE,'{',23,302)
LexToken(ID,'total',24,306)
LexToken(PLUS,'+',24,312)
LexToken(ASSIGN,'=',24,313)
LexToken(ID,'item',24,315)
LexToken(DOT,'.',24,319)
LexToken(ID,'Precio',24,320)
LexToken(TIMES,'*',24,327)
LexToken(FLOAT64_TYPE,'float64',24,329)
LexToken(LPAREN,'(',24,336)
LexToken(ID,'item',24,337)
LexToken(DOT,'.',24,341)
LexToken(ID,'Cantidad',24,342)
LexToken(RPAREN,')',24,350)
LexToken(RBRACE,'}',25,353)
LexToken(RETURN,'return',26,356)
LexToken(ID,'total',26,363)
LexToken(RBRACE,'}',27,369)
LexToken(FUNC,'func',29,372)
LexToken(MAIN,'main',29,377)
LexToken(LPAREN,'(',29,381)
LexToken(RPAREN,')',29,382)
LexToken(LBRACE,'{',29,384)
LexToken(ID,'carrito',30,387)
LexToken(COLON,':',30,395)
LexToken(ASSIGN,'=',30,396)
LexToken(ID,'Carrito',30,398)
LexToken(LBRACE,'{',30,405)
LexToken(RBRACE,'}',30,406)
LexToken(ID,'carrito',32,410)
LexToken(DOT,'.',32,417)
LexToken(ID,'Agregar',32,418)
LexToken(LPAREN,'(',32,425)
LexToken(ID,'Producto',32,426)
LexToken(LBRACE,'{',32,434)
LexToken(STRING,'"Manzanas"',32,435)
LexToken(COMMA,',',32,445)
LexToken(NUMBER,0,32,447)
LexToken(DOT,'.',32,448)
LexToken(NUMBER,5,32,449)
LexToken(COMMA,',',32,450)
LexToken(NUMBER,4,32,452)
LexToken(RBRACE,'}',32,453)
LexToken(RPAREN,')',32,454)
LexToken(ID,'carrito',33,457)
LexToken(DOT,'.',33,464)
LexToken(ID,'Agregar',33,465)
LexToken(LPAREN,'(',33,472)
LexToken(ID,'Producto',33,473)
LexToken(LBRACE,'{',33,481)
LexToken(STRING,'"Pan"',33,482)
LexToken(COMMA,',',33,487)
LexToken(NUMBER,1,33,489)
LexToken(DOT,'.',33,490)
LexToken(NUMBER,25,33,491)
LexToken(COMMA,',',33,493)
LexToken(NUMBER,2,33,495)
LexToken(RBRACE,'}',33,496)
LexToken(RPAREN,')',33,497)
LexToken(ID,'carrito',34,500)
LexToken(DOT,'.',34,507)
LexToken(ID,'Agregar',34,508)
LexToken(LPAREN,'(',34,515)
LexToken(ID,'Producto',34,516)
LexToken(LBRACE,'{',34,524)
LexToken(STRING,'"Leche"',34,525)
LexToken(COMMA,',',34,532)
LexToken(NUMBER,0,34,534)
LexToken(DOT,'.',34,535)
LexToken(NUMBER,9,34,536)
LexToken(COMMA,',',34,537)
LexToken(NUMBER,1,34,539)
LexToken(RBRACE,'}',34,540)
LexToken(RPAREN,')',34,541)
LexToken(ID,'fmt',36,545)
LexToken(DOT,'.',36,548)
LexToken(PRINTLN,'Println',36,549)
LexToken(LPAREN,'(',36,556)
LexToken(STRING,'"Resumen del carrito:"',36,557)
LexToken(RPAREN,')',36,579)
LexToken(FOR,'for',37,582)
LexToken(ID,'_',37,586)
LexToken(COMMA,',',37,587)
LexToken(ID,'item',37,589)
LexToken(COLON,':',37,594)
LexToken(ASSIGN,'=',37,595)
LexToken(RANGE,'range',37,597)
LexToken(ID,'carrito',37,603)
LexToken(DOT,'.',37,610)
LexToken(ID,'Items',37,611)
LexToken(LBRACE,'{',37,617)
LexToken(ID,'fmt',38,621)
LexToken(DOT,'.',38,624)
LexToken(PRINTF,'Printf',38,625)
LexToken(LPAREN,'(',38,631)
LexToken(STRING,'"- %s x%d: $%.2f\\n"',38,632)
LexToken(COMMA,',',38,651)
LexToken(ID,'item',38,653)
LexToken(DOT,'.',38,657)
LexToken(ID,'Nombre',38,658)
LexToken(COMMA,',',38,664)
LexToken(ID,'item',38,666)
LexToken(DOT,'.',38,670)
LexToken(ID,'Cantidad',38,671)
LexToken(COMMA,',',38,679)
LexToken(ID,'item',38,681)
LexToken(DOT,'.',38,685)
LexToken(ID,'Precio',38,686)
LexToken(RPAREN,')',38,692)
LexToken(RBRACE,'}',39,695)
LexToken(ID,'fmt',41,699)
LexToken(DOT,'.',41,702)
LexToken(PRINTF,'Printf',41,703)
LexToken(LPAREN,'(',41,709)
LexToken(STRING,'"Total a pagar: $%.2f\\n"',41,710)
LexToken(COMMA,',',41,734)
LexToken(ID,'carrito',41,736)
LexToken(DOT,'.',41,743)
LexToken(ID,'Total',41,744)
LexToken(LPAREN,'(',41,749)
LexToken(RPAREN,')',41,750)
LexToken(RPAREN,')',41,751)
LexToken(RBRACE,'}',42,753)
