[TOKEN] Línea 1: Tipo=PACKAGE, Valor=package
[TOKEN] Línea 1: Tipo=MAIN, Valor=main
[TOKEN] Línea 3: Tipo=IMPORT, Valor=import
[TOKEN] Línea 3: Tipo=LPAREN, Valor=(
[TOKEN] Línea 4: Tipo=STRING, Valor="fmt"
[TOKEN] Línea 5: Tipo=RPAREN, Valor=)
[TOKEN] Línea 7: Tipo=TYPE, Valor=type
[TOKEN] Línea 7: Tipo=VARIABLE, Valor=Producto
[TOKEN] Línea 7: Tipo=STRUCT, Valor=struct
[TOKEN] Línea 7: Tipo=LBRACE, Valor={
[TOKEN] Línea 8: Tipo=VARIABLE, Valor=Nombre
[TOKEN] Línea 8: Tipo=STRING_TYPE, Valor=string
[TOKEN] Línea 9: Tipo=VARIABLE, Valor=Precio
[TOKEN] Línea 9: Tipo=FLOAT64_TYPE, Valor=float64
[TOKEN] Línea 10: Tipo=VARIABLE, Valor=Cantidad
[TOKEN] Línea 10: Tipo=INT_TYPE, Valor=int
[TOKEN] Línea 11: Tipo=RBRACE, Valor=}
[TOKEN] Línea 13: Tipo=TYPE, Valor=type
[TOKEN] Línea 13: Tipo=VARIABLE, Valor=Carrito
[TOKEN] Línea 13: Tipo=STRUCT, Valor=struct
[TOKEN] Línea 13: Tipo=LBRACE, Valor={
[TOKEN] Línea 14: Tipo=VARIABLE, Valor=Items
[TOKEN] Línea 14: Tipo=LBRACKET, Valor=[
[TOKEN] Línea 14: Tipo=RBRACKET, Valor=]
[TOKEN] Línea 14: Tipo=VARIABLE, Valor=Producto
[TOKEN] Línea 15: Tipo=RBRACE, Valor=}
[TOKEN] Línea 17: Tipo=FUNC, Valor=func
[TOKEN] Línea 17: Tipo=LPAREN, Valor=(
[TOKEN] Línea 17: Tipo=VARIABLE, Valor=c
[TOKEN] Línea 17: Tipo=TIMES, Valor=*
[TOKEN] Línea 17: Tipo=VARIABLE, Valor=Carrito
[TOKEN] Línea 17: Tipo=RPAREN, Valor=)
[TOKEN] Línea 17: Tipo=VARIABLE, Valor=Agregar
[TOKEN] Línea 17: Tipo=LPAREN, Valor=(
[TOKEN] Línea 17: Tipo=VARIABLE, Valor=p
[TOKEN] Línea 17: Tipo=VARIABLE, Valor=Producto
[TOKEN] Línea 17: Tipo=RPAREN, Valor=)
[TOKEN] Línea 17: Tipo=LBRACE, Valor={
[TOKEN] Línea 18: Tipo=VARIABLE, Valor=c
[TOKEN] Línea 18: Tipo=DOT, Valor=.
[TOKEN] Línea 18: Tipo=VARIABLE, Valor=Items
